# AEGIS V2 Universe Manifest — 2026-04-04 — Source: config/contracts.toml
symbol,exchange,sec_type,currency,leverage,sector
1038,HKEX,STK,HKD,1,Infrastructure
1044,HKEX,STK,HKD,1,Unknown
1088,HKEX,STK,HKD,1,Energy
1109,HKEX,STK,HKD,1,Real_Estate
1113,HKEX,STK,HKD,1,Real_Estate
1177,HKEX,STK,HKD,1,Pharmaceuticals
1211,HKEX,STK,HKD,1,Automotive
1299,HKEX,STK,HKD,1,Finance
1347,HKEX,STK,HKD,1,Semiconductors
1398,HKEX,STK,HKD,1,Finance
1797,HKEX,STK,HKD,1,Energy
1810,HKEX,STK,HKD,1,Technology
1833,HKEX,STK,HKD,1,Unknown
1876,HKEX,STK,HKD,1,Unknown
1965,HKEX,STK,HKD,1,Unknown
1966,HKEX,STK,HKD,1,Unknown
1967,HKEX,STK,HKD,1,Unknown
1968,HKEX,STK,HKD,1,Unknown
1969,HKEX,STK,HKD,1,Mining
1970,HKEX,STK,HKD,1,Unknown
1971,HKEX,STK,HKD,1,Unknown
1972,HKEX,STK,HKD,1,Unknown
1973,HKEX,STK,HKD,1,Unknown
1975,HKEX,STK,HKD,1,Unknown
1977,HKEX,STK,HKD,1,Unknown
1978,HKEX,STK,HKD,1,Unknown
1979,HKEX,STK,HKD,1,Unknown
1980,HKEX,STK,HKD,1,Unknown
1981,HKEX,STK,HKD,1,Unknown
1982,HKEX,STK,HKD,1,Unknown
1983,HKEX,STK,HKD,1,Unknown
1985,HKEX,STK,HKD,1,Unknown
1986,HKEX,STK,HKD,1,Unknown
1987,HKEX,STK,HKD,1,Unknown
1988,HKEX,STK,HKD,1,Unknown
1989,HKEX,STK,HKD,1,Unknown
1991,HKEX,STK,HKD,1,Unknown
1993,HKEX,STK,HKD,1,Unknown
1995,HKEX,STK,HKD,1,Unknown
1996,HKEX,STK,HKD,1,Unknown
1997,HKEX,STK,HKD,1,Unknown
1999,HKEX,STK,HKD,1,Unknown
2000,HKEX,STK,HKD,1,Unknown
2001,HKEX,STK,HKD,1,Unknown
2002,HKEX,STK,HKD,1,Unknown
2003,HKEX,STK,HKD,1,Unknown
2005,HKEX,STK,HKD,1,Unknown
2007,HKEX,STK,HKD,1,Unknown
2008,HKEX,STK,HKD,1,Unknown
2009,HKEX,STK,HKD,1,Unknown
2011,HKEX,STK,HKD,1,Unknown
2012,HKEX,STK,HKD,1,Unknown
2013,HKEX,STK,HKD,1,Unknown
2015,HKEX,STK,HKD,1,Unknown
2016,HKEX,STK,HKD,1,Unknown
2017,HKEX,STK,HKD,1,Unknown
2018,HKEX,STK,HKD,1,Technology
2020,HKEX,STK,HKD,1,Technology
2022,HKEX,STK,HKD,1,Unknown
2023,HKEX,STK,HKD,1,Unknown
2025,HKEX,STK,HKD,1,Unknown
2269,HKEX,STK,HKD,1,Consumer
2313,HKEX,STK,HKD,1,Unknown
2318,HKEX,STK,HKD,1,Finance
2319,HKEX,STK,HKD,1,Unknown
2382,HKEX,STK,HKD,1,Technology
2388,HKEX,STK,HKD,1,Finance
2518,HKEX,STK,HKD,1,Unknown
2628,HKEX,STK,HKD,1,Finance
3690,HKEX,STK,HKD,1,Technology
3888,HKEX,STK,HKD,1,Unknown
3968,HKEX,STK,HKD,1,Unknown
3988,HKEX,STK,HKD,1,Unknown
6060,HKEX,STK,HKD,1,Unknown
6618,HKEX,STK,HKD,1,Unknown
6690,HKEX,STK,HKD,1,Unknown
